time,actualloglike,SISRloglike,APFloglike
159,-1.64649,-1.6523,-1.6509
160,-1.79136,-1.78443,-1.79182
161,-3.36573,-3.34361,-3.32504
162,-2.42325,-2.3876,-2.42048
163,-1.66449,-1.65689,-1.65154
164,-2.98081,-2.98614,-3.04739
165,-1.62697,-1.63789,-1.63132
166,-3.1863,-3.14248,-3.12975
167,-1.75345,-1.77953,-1.79166
168,-3.31238,-3.34797,-3.34573
169,-1.70965,-1.70497,-1.71652
170,-2.04186,-2.05583,-2.04698
171,-1.74086,-1.75344,-1.73257
172,-1.7784,-1.80286,-1.78499
173,-1.63316,-1.6403,-1.62177
174,-1.72893,-1.7434,-1.69207
175,-1.73079,-1.71162,-1.73149
176,-1.68546,-1.68346,-1.68067
177,-1.73916,-1.74565,-1.7444
178,-2.18495,-2.2009,-2.18822
179,-1.63819,-1.63479,-1.64081
180,-2.32844,-2.29655,-2.31731
181,-3.5862,-3.61372,-3.59757
182,-1.88631,-1.85717,-1.88518
183,-1.67645,-1.65953,-1.67831
184,-2.36759,-2.26148,-2.35983
185,-1.94118,-2.01255,-1.97429
186,-1.78466,-1.7954,-1.78599
187,-1.63623,-1.63886,-1.63197
188,-3.88773,-3.90789,-3.94783
189,-2.00785,-2.01534,-2.00901
190,-1.66957,-1.67192,-1.66348
191,-1.87775,-1.87675,-1.86448
192,-1.63751,-1.62889,-1.65664
193,-2.41764,-2.42166,-2.40146
194,-2.11978,-2.10971,-2.09469
195,-3.36079,-3.26881,-3.26632
196,-1.96612,-2.03682,-1.99679
197,-1.8542,-1.81545,-1.85033
198,-2.24206,-2.30494,-2.25313
199,-3.23285,-3.22554,-3.2192

