time,actualloglike,SISRloglike,APFloglike
159,-1.64649,-1.64035,-0.128821
160,-1.79136,-1.79524,-0.096683
161,-3.36573,-3.37333,0.427006
162,-2.42325,-2.4134,0.117261
163,-1.66449,-1.66427,-0.120841
164,-2.98081,-2.94517,0.31715
165,-1.62697,-1.63569,-0.161503
166,-3.1863,-3.05493,0.415301
167,-1.75345,-1.7898,-0.079772
168,-3.31238,-3.36349,0.428263
169,-1.70965,-1.7186,-0.145433
170,-2.04186,-2.07025,-0.0287199
171,-1.74086,-1.75464,-0.119876
172,-1.7784,-1.7742,-0.0952704
173,-1.63316,-1.62983,-0.149285
174,-1.72893,-1.7258,-0.0872163
175,-1.73079,-1.72104,-0.107362
176,-1.68546,-1.69781,-0.112013
177,-1.73916,-1.75429,-0.0960426
178,-2.18495,-2.20073,0.0437838
179,-1.63819,-1.63765,-0.127416
180,-2.32844,-2.32304,0.136486
181,-3.5862,-3.48993,0.506231
182,-1.88631,-1.91248,-0.0412301
183,-1.67645,-1.67273,-0.117045
184,-2.36759,-2.30332,0.109259
185,-1.94118,-1.9608,-0.0416358
186,-1.78466,-1.77612,-0.0655876
187,-1.63623,-1.63611,-0.139268
188,-3.88773,-3.94529,0.577715
189,-2.00785,-1.98228,-0.0113903
190,-1.66957,-1.6919,-0.135345
191,-1.87775,-1.85291,-0.0564888
192,-1.63751,-1.64373,-0.140889
193,-2.41764,-2.43498,0.123047
194,-2.11978,-2.11698,0.0267606
195,-3.36079,-3.3027,0.441013
196,-1.96612,-2.03846,-0.0394903
197,-1.8542,-1.83329,-0.0553852
198,-2.24206,-2.27599,0.067809
199,-3.23285,-3.20208,0.4046

